"Ticket_id","PurchaseDate","Price","EANCode","IsActive","Event_Event_id","Visitor_Visitor_id","Ticket_type_Type","Payment_method_Method","Seller_id"
90,"2018-09-14",106,"2995820585333",1,1,5,"Regular","Cash",""
91,"2018-09-14",265,"2390147279603",1,1,105,"VIP","Debit Card",""
92,"2018-08-16",84,"1300566357050",1,1,29,"Early Bird","No Cash",""
93,"2018-09-14",106,"6948798716819",1,1,82,"Regular","Bank Account",""
94,"2018-09-14",106,"2879502782090",1,1,25,"Regular","Bank Account",""
95,"2018-09-14",106,"3541690305260",0,1,"","Regular","",""
96,"2018-09-14",265,"8919658999608",0,1,"","VIP","",""
97,"2018-09-14",265,"1267900408090",1,1,40,"VIP","Debit Card",""
98,"2018-09-14",106,"6922184393327",0,1,"","Regular","",""
99,"2018-09-14",265,"2895445713156",0,1,"","VIP","",""
100,"2018-09-14",106,"5604829350698",1,1,30,"Regular","Bank Account",""
101,"2018-09-14",106,"1188687595497",1,1,6,"Regular","Bank Account",""
102,"2018-08-16",84,"3753448016600",1,1,8,"Early Bird","Debit Card",""
103,"2018-09-14",106,"6455691023709",1,1,2,"Regular","No Cash",""
104,"2018-09-14",265,"9935633050599",1,1,98,"VIP","Credit Card",""
105,"2018-09-14",106,"9823903885649",0,1,"","Regular","",""
106,"2018-09-14",106,"8519028771651",1,1,147,"Regular","Bank Account",""
107,"2018-09-14",106,"7870356771704",1,1,32,"Regular","No Cash",""
108,"2018-09-14",106,"7609984213943",1,1,111,"Regular","No Cash",""
109,"2018-09-14",106,"2077489745771",1,1,90,"Regular","No Cash",""
110,"2018-08-16",84,"3332220777375",1,1,106,"Early Bird","No Cash",""
111,"2018-09-14",106,"1748602449296",1,1,51,"Regular","Credit Card",""
112,"2018-09-14",106,"6421298980238",0,1,"","Regular","",""
113,"2018-09-14",106,"4553021804809",1,1,61,"Regular","Bank Account",""
114,"2018-08-16",84,"2462875840101",1,1,95,"Early Bird","Debit Card",""
115,"2018-09-14",74,"8661584081558",1,1,59,"Group","Credit Card",""
116,"2018-09-14",318,"3002679678345",1,1,128,"Backstage","Bank Account",""
117,"2018-09-14",106,"8477213586879",0,1,"","Regular","",""
118,"2018-09-14",106,"8984174228564",1,1,141,"Regular","Cash",""
119,"2018-09-14",106,"8244294959030",1,1,123,"Regular","Cash",""
120,"2018-09-14",106,"7187968274083",0,1,"","Regular","",""
121,"2018-08-17",81,"6812280981182",1,2,122,"Early Bird","Debit Card",""
122,"2018-09-15",255,"8987673397249",1,2,47,"VIP","Credit Card",""
123,"2018-09-15",102,"5367813568666",1,2,26,"Regular","Credit Card",""
124,"2018-09-15",306,"4814586130557",0,2,"","Backstage","",""
125,"2018-09-15",306,"1403499543029",1,2,121,"Backstage","Debit Card",""
126,"2018-09-15",102,"9977031019998",0,2,"","Regular","",""
127,"2018-09-15",71,"2300412422724",1,2,134,"Group","Debit Card",""
128,"2018-08-17",81,"1115220300471",1,2,67,"Early Bird","No Cash",""
129,"2018-09-15",102,"5054409574136",0,2,"","Regular","",""
130,"2018-09-15",102,"3160306829277",1,2,18,"Regular","No Cash",""
131,"2018-09-15",102,"5227083070853",0,2,"","Regular","",""
132,"2018-08-17",81,"1308944143178",1,2,16,"Early Bird","Debit Card",""
133,"2018-09-15",306,"9838867379920",1,2,10,"Backstage","Bank Account",""
134,"2018-09-15",102,"9162332810732",0,2,"","Regular","",""
135,"2018-09-15",102,"8572292410911",1,2,98,"Regular","Bank Account",""
136,"2018-09-15",102,"2448573226720",0,2,"","Regular","",""
137,"2018-09-15",255,"3307278304907",1,2,120,"VIP","Debit Card",""
138,"2018-09-15",102,"8472471624578",1,2,31,"Regular","Credit Card",""
139,"2018-09-15",255,"7140294497985",1,2,85,"VIP","Credit Card",""
140,"2018-09-15",102,"8809181005978",1,2,104,"Regular","Credit Card",""
141,"2018-09-15",255,"6456308367466",1,2,43,"VIP","Debit Card",""
142,"2018-09-15",102,"9264634865106",1,2,84,"Regular","Credit Card",""
143,"2018-09-15",306,"9900410573990",1,2,80,"Backstage","Debit Card",""
144,"2018-09-15",255,"6556991272925",1,2,115,"VIP","Credit Card",""
145,"2018-09-15",102,"4027386247779",1,2,97,"Regular","Bank Account",""
146,"2018-09-15",102,"8476298358673",1,2,25,"Regular","Debit Card",""
147,"2018-09-15",102,"2793482917903",1,2,123,"Regular","Cash",""
148,"2018-09-15",102,"3284043722595",1,2,54,"Regular","Debit Card",""
149,"2018-09-15",102,"9951424238360",1,2,92,"Regular","Credit Card",""
150,"2018-09-15",255,"5742680106177",1,2,4,"VIP","Cash",""
151,"2018-09-15",102,"7534558003060",0,2,"","Regular","",""
152,"2018-09-15",102,"1479639721352",1,2,82,"Regular","No Cash",""
153,"2018-08-17",81,"5207155971345",1,2,108,"Early Bird","Credit Card",""
154,"2018-08-17",81,"9523439141237",0,2,"","Early Bird","",""
155,"2018-08-17",81,"1681165391655",1,2,61,"Early Bird","Debit Card",""
156,"2018-09-15",102,"9604373365460",0,2,"","Regular","",""
157,"2018-09-15",102,"8318938909194",1,2,59,"Regular","No Cash",""
158,"2018-08-17",81,"1559196982887",1,2,50,"Early Bird","Credit Card",""
159,"2018-09-15",102,"2889335908748",1,2,29,"Regular","Debit Card",""
160,"2018-09-15",102,"3074965228024",1,2,23,"Regular","No Cash",""
161,"2018-09-15",102,"3989438652885",1,2,71,"Regular","Credit Card",""
162,"2018-09-15",102,"3446849916110",1,2,70,"Regular","No Cash",""
163,"2018-09-15",102,"5510698054375",0,2,"","Regular","",""
164,"2018-09-15",71,"4015094703356",1,2,113,"Group","Cash",""
165,"2018-09-15",102,"9031681402284",1,2,79,"Regular","Bank Account",""
166,"2018-09-15",102,"6227475764163",0,2,"","Regular","",""
167,"2018-09-15",102,"5719854862756",0,2,"","Regular","",""
168,"2018-09-15",102,"5324322419379",1,2,60,"Regular","Credit Card",""
169,"2018-09-15",102,"7863324300248",0,2,"","Regular","",""
170,"2018-09-15",71,"4988336105828",0,2,"","Group","",""
171,"2018-09-15",102,"5018105370387",1,2,142,"Regular","Credit Card",""
172,"2018-09-15",102,"8961486690826",0,2,"","Regular","",""
173,"2018-09-15",102,"5534092343493",1,2,124,"Regular","No Cash",""
174,"2018-09-15",102,"3101365758595",0,2,"","Regular","",""
175,"2018-09-15",102,"3084613729175",1,2,129,"Regular","Debit Card",""
176,"2018-09-15",102,"9873378258597",1,2,49,"Regular","Bank Account",""
177,"2018-09-15",102,"6101567654870",1,2,41,"Regular","Debit Card",""
178,"2018-09-15",102,"9045672173266",1,2,2,"Regular","Cash",""
179,"2018-09-15",102,"8249130179076",0,2,"","Regular","",""
180,"2018-09-15",102,"3665589225167",1,2,89,"Regular","No Cash",""
181,"2018-09-15",102,"2768660534812",0,2,"","Regular","",""
182,"2018-09-15",71,"4550534195972",1,2,11,"Group","Credit Card",""
183,"2018-09-15",102,"3242476677488",1,2,150,"Regular","Debit Card",""
184,"2018-09-15",102,"6817127103182",1,2,144,"Regular","Bank Account",""
185,"2018-09-15",102,"5489523703150",1,2,93,"Regular","Cash",""
186,"2018-09-15",102,"8536237041961",1,2,149,"Regular","No Cash",""
187,"2018-09-15",306,"3708302031092",1,2,127,"Backstage","Bank Account",""
188,"2018-09-15",102,"9704651574578",0,2,"","Regular","",""
189,"2018-09-15",102,"6194523738031",1,2,130,"Regular","Credit Card",""
190,"2018-09-15",102,"7383352853339",0,2,"","Regular","",""
191,"2018-08-17",81,"3646484100859",1,2,126,"Early Bird","Cash",""
192,"2018-09-15",102,"7962062649114",1,2,81,"Regular","Bank Account",""
193,"2018-08-17",81,"8677987759548",1,2,52,"Early Bird","Bank Account",""
194,"2018-09-15",102,"1386261763075",1,2,77,"Regular","Cash",""
195,"2018-09-15",102,"7967712267291",1,2,62,"Regular","Bank Account",""
196,"2018-09-15",102,"4442620874965",1,2,86,"Regular","Bank Account",""
197,"2018-09-15",102,"8475352240408",1,2,40,"Regular","Debit Card",""
198,"2018-09-15",102,"5829521180877",1,2,143,"Regular","Credit Card",""
199,"2018-09-15",102,"9634877393030",1,2,94,"Regular","Debit Card",""
200,"2018-09-15",102,"2701457544971",0,2,"","Regular","",""
201,"2018-09-15",102,"5207315237577",1,2,102,"Regular","Bank Account",""
202,"2018-08-17",81,"2834408119133",1,2,140,"Early Bird","Cash",""
203,"2018-09-15",102,"3212434422775",1,2,58,"Regular","Debit Card",""
204,"2018-09-15",102,"3497771384122",1,2,116,"Regular","Bank Account",""
205,"2018-09-15",255,"1928325905381",1,2,42,"VIP","Bank Account",""
206,"2018-09-15",102,"6328355992879",1,2,133,"Regular","No Cash",""
207,"2018-09-15",102,"3629931307978",0,2,"","Regular","",""
208,"2018-08-17",81,"6198348664188",1,2,69,"Early Bird","No Cash",""
209,"2018-09-15",71,"6309665811910",1,2,9,"Group","Debit Card",""
210,"2018-08-17",81,"5067269997981",0,2,"","Early Bird","",""
211,"2018-09-15",102,"1622219271755",1,2,74,"Regular","Cash",""
212,"2018-09-15",255,"3080338090152",0,2,"","VIP","",""
213,"2018-09-15",102,"5477147485162",1,2,7,"Regular","Cash",""
214,"2018-09-15",102,"5041613014420",1,2,35,"Regular","No Cash",""
215,"2018-09-15",255,"7249095859019",0,2,"","VIP","",""
216,"2018-09-15",102,"4788334229996",1,2,141,"Regular","Credit Card",""
217,"2018-09-15",102,"5780456940064",0,2,"","Regular","",""
218,"2018-09-15",102,"2785462669466",0,2,"","Regular","",""
219,"2018-09-15",102,"2579547914569",1,2,145,"Regular","Credit Card",""
220,"2018-09-15",102,"6676023153493",1,2,76,"Regular","Debit Card",""
221,"2018-09-15",102,"9169203355354",1,2,112,"Regular","Debit Card",""
222,"2018-09-15",102,"5031737582319",0,2,"","Regular","",""
223,"2018-09-15",255,"8516202952508",1,2,8,"VIP","Bank Account",""
224,"2018-09-15",306,"2277921726691",1,2,138,"Backstage","No Cash",""
225,"2018-09-15",255,"2702500470525",1,2,22,"VIP","Credit Card",""
226,"2018-09-15",102,"2809461606425",1,2,128,"Regular","Credit Card",""
227,"2018-09-15",102,"9095306602702",1,2,33,"Regular","Cash",""
228,"2018-09-15",102,"5328268636498",1,2,103,"Regular","Credit Card",""
229,"2018-09-15",102,"9086854756215",0,2,"","Regular","",""
230,"2018-09-15",102,"9281833127738",1,2,148,"Regular","Debit Card",""
231,"2018-09-15",102,"7035869361838",1,2,17,"Regular","Debit Card",""
232,"2018-09-15",102,"5629412305949",0,2,"","Regular","",""
233,"2018-09-15",102,"7639812879042",1,2,30,"Regular","Cash",""
234,"2018-09-15",71,"9274927550530",1,2,132,"Group","Credit Card",""
235,"2018-08-17",81,"8288593711316",1,2,37,"Early Bird","No Cash",""
236,"2018-09-15",102,"9438756243487",1,2,20,"Regular","Credit Card",""
237,"2018-08-17",81,"2000097394540",1,2,111,"Early Bird","No Cash",""
238,"2018-09-15",255,"8116869403147",0,2,"","VIP","",""
239,"2018-09-15",102,"3125740840919",1,2,125,"Regular","Debit Card",""
240,"2018-09-15",102,"5739313996368",1,2,91,"Regular","No Cash",""
241,"2018-09-15",102,"1563325711379",0,2,"","Regular","",""
242,"2018-09-15",102,"7818716384923",1,2,66,"Regular","Credit Card",""
243,"2018-09-15",102,"9908182092974",1,2,15,"Regular","Debit Card",""
244,"2018-09-15",102,"8059213264712",1,2,68,"Regular","Cash",""
245,"2018-08-17",81,"1707560328826",1,2,100,"Early Bird","Debit Card",""
246,"2018-09-15",102,"2304601740429",1,2,101,"Regular","Bank Account",""
247,"2018-09-15",102,"8730529568257",1,2,117,"Regular","Bank Account",""
248,"2018-09-15",102,"5584232616588",1,2,146,"Regular","Credit Card",""
249,"2018-09-15",102,"5479067694361",1,2,99,"Regular","Debit Card",""
250,"2018-09-15",102,"8778170363795",1,2,14,"Regular","Cash",""
251,"2018-09-15",102,"1522153773920",0,2,"","Regular","",""
252,"2018-09-15",102,"9103273374830",1,2,44,"Regular","Debit Card",""
253,"2018-09-15",102,"8724681546739",1,2,136,"Regular","Cash",""
254,"2018-09-15",102,"2608654923739",1,2,53,"Regular","No Cash",""
255,"2018-09-15",102,"9698276595203",1,2,19,"Regular","Debit Card",""
256,"2018-09-15",102,"7868178310478",0,2,"","Regular","",""
257,"2018-08-17",81,"9598856110784",1,2,107,"Early Bird","Bank Account",""
258,"2018-08-17",81,"2951511342067",0,2,"","Early Bird","",""
259,"2018-09-15",255,"4282833483638",1,2,48,"VIP","Debit Card",""
260,"2018-09-15",102,"5639466611519",1,2,73,"Regular","No Cash",""
261,"2018-09-15",102,"4005818451694",1,2,135,"Regular","Debit Card",""
262,"2018-08-17",81,"1103060566695",1,2,1,"Early Bird","No Cash",""
263,"2018-08-17",81,"4011177355311",1,2,27,"Early Bird","Credit Card",""
264,"2018-09-15",102,"3715349590704",1,2,119,"Regular","No Cash",""
265,"2018-09-15",71,"1066593450206",1,2,137,"Group","Bank Account",""
266,"2018-09-15",102,"2792333404744",1,2,65,"Regular","Debit Card",""
267,"2018-09-15",102,"5322964334267",1,2,39,"Regular","Cash",""
268,"2018-09-15",102,"3140967287635",0,2,"","Regular","",""
269,"2018-08-17",81,"8975582634021",1,2,28,"Early Bird","Credit Card",""
270,"2018-09-15",255,"3597442585790",0,2,"","VIP","",""
271,"2018-09-15",255,"4584647438168",1,2,90,"VIP","Debit Card",""
272,"2018-09-15",102,"1833921998038",1,2,109,"Regular","Credit Card",""
273,"2018-08-17",81,"1585058777421",1,2,105,"Early Bird","Cash",""
274,"2018-09-15",71,"2129564751027",1,2,95,"Group","Debit Card",""
275,"2018-08-17",81,"8253950928844",1,2,96,"Early Bird","Debit Card",""
276,"2018-09-15",102,"5050457114907",1,2,83,"Regular","Bank Account",""
277,"2018-09-15",102,"1018079350934",1,2,3,"Regular","Cash",""
278,"2018-09-15",102,"1281072853251",0,2,"","Regular","",""
279,"2018-09-15",102,"2667239673590",1,2,5,"Regular","Cash",""
280,"2018-08-17",81,"8295516949363",1,2,45,"Early Bird","Credit Card",""
281,"2018-09-15",306,"9376447110625",0,2,"","Backstage","",""
282,"2018-09-15",102,"4102304227556",1,2,88,"Regular","Cash",""
283,"2018-09-15",102,"7628927125758",1,2,34,"Regular","Cash",""
284,"2018-09-15",102,"1306349707845",0,2,"","Regular","",""
285,"2018-09-15",102,"3736848810905",0,2,"","Regular","",""
286,"2018-08-17",81,"2129901970950",0,2,"","Early Bird","",""
287,"2018-08-17",81,"4665129352603",1,2,75,"Early Bird","Bank Account",""
288,"2018-09-15",255,"4319955629203",1,2,56,"VIP","Credit Card",""
289,"2018-08-17",81,"8912143849467",1,2,55,"Early Bird","Credit Card",""
290,"2018-09-15",102,"7555150070159",1,2,12,"Regular","No Cash",""
291,"2018-09-15",102,"4753683186230",0,2,"","Regular","",""
292,"2018-09-15",255,"7624612386715",1,2,106,"VIP","Bank Account",""
293,"2018-09-15",306,"5979585292037",1,2,63,"Backstage","Cash",""
294,"2018-09-15",102,"9341219362705",1,2,21,"Regular","Debit Card",""
295,"2018-09-15",255,"2395895012738",0,2,"","VIP","",""
296,"2018-09-15",102,"3838640532647",1,2,57,"Regular","No Cash",""
297,"2018-09-15",71,"9424886635636",0,2,"","Group","",""
298,"2018-09-15",102,"4543080807964",1,2,147,"Regular","Credit Card",""
299,"2018-09-15",306,"7483886056381",0,2,"","Backstage","",""
300,"2018-08-17",81,"3861044694833",1,2,46,"Early Bird","No Cash",""
301,"2018-09-16",100,"6743507933378",1,3,45,"Regular","Cash",""
302,"2018-08-18",80,"5905619967978",1,3,140,"Early Bird","Bank Account",""
303,"2018-09-16",100,"2930342455052",1,3,49,"Regular","Debit Card",""
304,"2018-09-16",100,"1116232866476",1,3,12,"Regular","No Cash",""
305,"2018-09-16",100,"3971337328644",1,3,135,"Regular","No Cash",""
306,"2018-09-16",250,"4000078269021",1,3,86,"VIP","Credit Card",""
307,"2018-09-16",100,"3559384173657",0,3,"","Regular","",""
308,"2018-08-18",80,"1085068192841",1,3,116,"Early Bird","No Cash",""
309,"2018-09-16",100,"2953384625985",1,3,108,"Regular","Debit Card",""
310,"2018-09-16",70,"2977248095207",0,3,"","Group","",""
311,"2018-09-16",100,"3531243692453",0,3,"","Regular","",""
312,"2018-09-16",100,"9148353460435",0,3,"","Regular","",""
313,"2018-09-16",100,"4245438330564",1,3,137,"Regular","Cash",""
314,"2018-09-16",100,"3102196171032",1,3,75,"Regular","Cash",""
315,"2018-09-16",100,"3356360242100",1,3,73,"Regular","Credit Card",""
316,"2018-09-16",100,"6956892865667",1,3,109,"Regular","Debit Card",""
317,"2018-09-16",100,"5508897043297",1,3,104,"Regular","Credit Card",""
318,"2018-09-16",100,"9667927044098",1,3,13,"Regular","Credit Card",""
319,"2018-08-18",80,"3096135945911",0,3,"","Early Bird","",""
320,"2018-09-16",100,"7676094228569",1,3,120,"Regular","No Cash",""
321,"2018-09-16",70,"8782023197902",1,3,20,"Group","No Cash",""
322,"2018-09-16",250,"1280392182952",0,3,"","VIP","",""
323,"2018-09-16",100,"7245359355525",1,3,40,"Regular","No Cash",""
324,"2018-08-18",80,"5710912097371",0,3,"","Early Bird","",""
325,"2018-09-16",100,"6919655427964",1,3,59,"Regular","Credit Card",""
326,"2018-09-16",300,"3677647805766",1,3,64,"Backstage","Bank Account",""
327,"2018-09-16",100,"4460788894086",1,3,144,"Regular","No Cash",""
328,"2018-09-16",100,"2429922631624",1,3,150,"Regular","No Cash",""
329,"2018-09-16",100,"2873356076620",1,3,11,"Regular","Credit Card",""
330,"2018-08-18",80,"1204269843663",1,3,121,"Early Bird","Cash",""
331,"2018-08-18",80,"7653028185280",1,3,37,"Early Bird","Bank Account",""
332,"2018-09-16",100,"8754097243725",1,3,5,"Regular","Credit Card",""
333,"2018-09-16",100,"1240444428725",1,3,77,"Regular","Cash",""
334,"2018-09-16",100,"8779722812358",0,3,"","Regular","",""
335,"2018-09-16",100,"9957031917455",0,3,"","Regular","",""
336,"2018-09-16",300,"7947284338550",1,3,130,"Backstage","Debit Card",""
337,"2018-08-18",80,"5328957201654",1,3,143,"Early Bird","Cash",""
338,"2018-09-16",100,"1070667475051",1,3,26,"Regular","No Cash",""
339,"2018-09-16",100,"6276786546578",0,3,"","Regular","",""
340,"2018-09-16",100,"2316576979235",1,3,98,"Regular","Cash",""
341,"2018-09-16",100,"2531874054743",1,3,9,"Regular","Cash",""
342,"2018-09-16",100,"1988412163417",0,3,"","Regular","",""
343,"2018-09-16",100,"6273785939941",1,3,22,"Regular","Credit Card",""
344,"2018-09-16",250,"7556283499228",1,3,51,"VIP","Cash",""
345,"2018-09-16",100,"3570003393651",0,3,"","Regular","",""
346,"2018-09-16",100,"7672681211616",1,3,29,"Regular","Credit Card",""
347,"2018-09-16",100,"9795954921608",1,3,10,"Regular","Debit Card",""
348,"2018-09-16",100,"1671054863626",1,3,54,"Regular","No Cash",""
349,"2018-09-16",100,"3952819762526",0,3,"","Regular","",""
350,"2018-09-16",100,"6399957391524",1,3,146,"Regular","No Cash",""
351,"2018-09-16",100,"7302080511687",0,3,"","Regular","",""
352,"2018-09-16",100,"6608817043779",1,3,48,"Regular","Cash",""
353,"2018-09-16",250,"2312185339464",1,3,63,"VIP","Cash",""
354,"2018-08-18",80,"8949004958419",0,3,"","Early Bird","",""
355,"2018-09-16",100,"6509243261112",1,3,106,"Regular","Credit Card",""
356,"2018-09-16",100,"6626642887460",1,3,60,"Regular","Cash",""
357,"2018-09-16",100,"6496818710429",1,3,82,"Regular","Debit Card",""
358,"2018-09-16",100,"7119164380963",1,3,91,"Regular","No Cash",""
359,"2018-09-16",100,"8833896519736",1,3,80,"Regular","Cash",""
360,"2018-09-16",250,"6494816312968",0,3,"","VIP","",""
361,"2018-09-16",100,"9716092088928",1,3,136,"Regular","Cash",""
362,"2018-09-16",100,"7173445726318",0,3,"","Regular","",""
363,"2018-09-16",100,"8676343304692",1,3,35,"Regular","Cash",""
364,"2018-09-16",250,"1348850835410",1,3,83,"VIP","Debit Card",""
365,"2018-09-16",100,"4364657687963",1,3,92,"Regular","No Cash",""
366,"2018-09-16",250,"3522255745010",1,3,28,"VIP","No Cash",""
367,"2018-08-18",80,"4849195225617",1,3,21,"Early Bird","Cash",""
368,"2018-09-16",250,"7759607140283",1,3,24,"VIP","Debit Card",""
369,"2018-09-16",100,"8480603957573",1,3,96,"Regular","Bank Account",""
370,"2018-09-16",100,"8990711206768",1,3,65,"Regular","No Cash",""
371,"2018-08-18",80,"6862910792690",1,3,33,"Early Bird","Bank Account",""
372,"2018-09-16",100,"3623351440303",1,3,129,"Regular","Cash",""
373,"2018-09-16",100,"6793410442993",0,3,"","Regular","",""
374,"2018-08-18",80,"8721039876489",0,3,"","Early Bird","",""
375,"2018-09-16",100,"9784747349688",1,3,113,"Regular","Cash",""
376,"2018-09-16",70,"5091266881131",1,3,131,"Group","No Cash",""
377,"2018-09-16",100,"8497596344095",0,3,"","Regular","",""
378,"2018-09-16",100,"2752270320084",0,3,"","Regular","",""
379,"2018-09-16",100,"7628674295875",1,3,101,"Regular","Credit Card",""
380,"2018-09-16",100,"8699351637118",1,3,87,"Regular","Credit Card",""
