Rating_id,ArtistPerformanceINT,SoundAndLightingINT,StagePresenceINT,OrganizationINT,OverallImpressionINT,Performance_Performance_id,Visitor_Visitor_id
147,2,3,5,2,2,4,64
148,1,1,2,2,2,2,64
150,5,2,5,4,4,2,57
151,1,4,5,3,5,3,91
152,4,1,1,3,2,2,108
153,5,2,3,4,4,3,108
154,5,1,4,3,2,4,83
155,4,4,1,4,4,2,83
156,3,3,1,4,5,1,83
157,1,3,2,2,5,3,149
158,4,1,5,1,4,2,149
159,1,5,2,4,4,1,149
160,3,5,5,2,5,3,26
161,2,4,2,4,1,2,26
162,1,3,5,1,5,1,26
163,3,3,2,2,3,3,140
164,2,5,4,4,2,1,43
165,5,2,1,4,3,3,43
166,1,1,3,4,1,1,111
167,4,2,4,3,3,4,111
171,5,5,1,4,2,1,87
172,4,2,3,2,3,2,87
173,2,3,2,5,5,3,72
174,1,5,1,1,4,4,145
175,1,5,1,1,1,2,145
176,2,2,2,2,5,1,145
177,5,4,3,5,5,1,67
178,2,5,5,5,4,2,67
179,3,2,4,3,2,1,135
180,5,5,1,2,1,3,135
181,1,1,1,5,1,2,135
182,3,5,1,5,2,1,86
183,4,5,1,5,3,4,86
184,2,2,1,2,3,3,80
185,3,1,4,3,2,2,80
186,5,2,3,2,3,1,80
187,2,3,5,2,4,2,95
196,1,4,1,1,2,2,113
197,5,5,5,3,2,4,113
198,3,1,3,4,4,3,113
199,1,3,2,2,2,2,90
200,3,3,4,3,4,1,90
201,4,3,3,5,1,3,90
202,2,2,1,5,1,4,1
203,1,2,5,1,1,2,1
204,2,2,1,5,1,2,19
205,5,1,3,4,2,4,19
206,1,3,2,5,2,3,19
207,1,5,1,1,3,2,32
208,1,1,3,5,2,1,32
209,3,5,5,1,5,2,16
212,1,5,2,3,5,3,60
213,5,1,2,3,1,4,60
214,2,2,1,1,1,3,8
215,2,5,1,2,3,2,8
216,1,3,3,1,3,1,8
217,4,1,5,1,1,3,102
218,1,1,3,3,3,1,102
219,1,1,3,5,2,4,102
220,5,4,5,2,2,2,132
221,1,4,1,2,5,3,132
222,1,1,3,5,4,4,132
223,1,1,1,4,4,1,109
224,1,4,4,5,5,2,109
225,4,2,2,1,4,3,109
226,4,3,4,4,5,4,41
227,2,2,1,1,5,1,41
228,5,4,1,2,3,1,85
229,3,4,3,5,3,2,85
230,4,1,3,5,3,4,85
231,2,4,2,5,4,4,110
232,5,3,1,5,2,2,110
233,2,4,4,5,5,2,129
234,3,2,3,1,3,3,129
236,3,5,5,3,3,1,70
237,2,3,1,1,3,2,70
238,5,3,1,4,2,1,30
239,1,4,2,3,2,2,30
240,2,3,1,5,5,3,30
241,1,1,1,5,3,3,130
242,4,4,1,4,3,4,130
243,2,2,4,2,5,1,130
244,3,1,5,5,2,3,23
245,4,1,3,4,5,4,23
246,4,2,2,2,1,1,23
247,3,5,3,5,1,2,119
248,4,4,1,1,2,4,138
250,2,2,4,1,5,1,51
251,1,2,5,2,5,3,51
252,3,2,4,3,3,2,97
253,2,3,4,5,5,1,97
254,2,4,2,3,1,4,97
255,4,4,1,2,1,4,122
256,1,4,5,4,5,4,46
257,5,4,1,1,3,3,46
258,3,1,3,4,5,1,59
259,1,5,5,1,5,4,59
260,1,4,3,2,2,2,79
261,5,5,3,2,5,4,79
262,2,5,1,4,3,3,79
263,1,3,3,1,5,2,39
264,3,3,5,1,4,3,39
268,3,2,2,4,2,3,3
269,2,3,4,2,1,2,3
270,3,2,2,5,2,1,42
271,3,1,4,2,3,2,42
272,1,2,2,5,3,1,106
273,4,2,1,5,1,2,131
274,4,5,4,3,4,4,131
275,5,4,3,3,4,4,146
276,2,5,2,5,2,1,123
277,4,2,3,4,4,2,61
278,5,1,5,3,1,4,61
279,4,2,4,5,5,1,61
285,5,1,1,1,1,1,82
286,2,1,2,3,3,4,82
287,4,1,5,4,2,3,28
288,3,2,5,2,3,2,28
289,5,3,3,1,2,3,9
290,3,5,1,3,1,2,9
291,5,1,5,5,2,3,45
292,5,5,4,2,5,2,63
293,3,2,5,1,5,3,34
294,1,4,1,3,3,2,34
295,5,3,5,1,2,4,34
299,2,5,2,2,3,2,121
300,3,4,3,1,5,1,121
301,1,4,4,3,1,2,76
302,5,1,4,4,4,3,74
304,4,1,2,1,4,4,101
305,5,3,1,5,4,1,101
306,2,4,2,4,4,1,142
307,2,5,5,2,1,2,142
308,4,2,4,3,3,3,142
309,5,3,2,5,2,2,147
310,3,3,2,4,1,3,147
311,2,5,5,3,5,1,147
312,1,2,3,4,3,1,73
313,5,4,5,2,1,2,73
314,3,5,5,3,5,2,134
315,1,2,5,3,4,4,84
316,1,2,3,3,1,1,84
317,2,5,5,3,5,2,84
319,3,3,3,5,2,2,54
320,3,4,3,5,2,3,54
321,1,5,3,2,4,4,5
322,1,4,5,1,3,2,56
323,4,3,4,5,3,2,137
324,3,2,1,5,3,3,137
325,3,1,2,5,3,3,77
326,2,3,4,4,4,1,77
327,3,2,3,2,3,2,77
328,4,2,5,4,5,2,17
329,1,5,1,5,3,4,17
330,3,3,1,2,4,1,17
331,2,3,5,3,1,2,49
332,4,1,4,5,5,1,49
335,1,3,3,4,4,1,128
336,2,4,1,5,1,3,128
337,1,2,4,1,5,2,128
338,2,2,1,1,3,3,126
339,5,4,3,4,3,1,78
340,5,1,4,1,1,2,78
341,5,3,1,1,5,1,11
342,1,3,4,5,1,3,107
343,1,5,5,2,5,4,107
344,2,4,3,4,4,2,107
345,3,3,5,5,5,1,55
346,5,5,3,4,3,4,55
347,4,2,1,5,2,3,55
348,4,4,5,3,2,2,98
349,1,5,1,3,5,3,98
350,1,3,2,4,3,1,93
351,4,5,4,2,2,4,93
352,3,2,5,3,1,1,62
353,3,2,4,4,5,3,62
1573,1,2,2,3,1,6,36
1574,1,4,2,2,1,5,36
1577,3,5,2,3,5,5,88
1579,5,5,2,2,2,6,136
1580,3,1,2,5,4,5,136
1581,2,1,1,1,2,6,70
1582,5,1,2,5,3,6,117
1585,1,4,1,4,1,6,113
1587,1,1,3,2,1,5,16
1588,2,4,2,4,3,6,16
1589,4,3,2,1,4,6,90
1590,1,2,5,1,3,5,90
1591,2,3,2,5,1,6,61
1592,3,5,5,4,5,5,61
1593,3,4,4,3,3,5,21
1594,3,3,1,5,2,6,21
1595,4,5,2,2,1,6,2
1596,4,2,1,4,4,5,19
1597,3,5,2,2,3,6,19
1598,2,5,4,2,4,6,124
1599,3,5,1,2,5,5,124
1600,1,4,5,3,1,5,111
1601,4,5,5,5,4,5,87
1602,3,5,4,1,3,6,7
1603,4,2,5,5,3,5,7
1604,4,5,2,4,4,6,80
1605,3,3,1,1,2,5,80
1606,5,1,3,4,2,6,28
1607,2,2,5,2,3,5,28
1608,1,5,3,2,4,6,73
1609,5,3,3,4,4,5,73
1610,3,4,1,3,2,6,76
1611,5,1,4,3,4,5,14
1612,1,5,5,4,5,6,14
1613,3,3,2,5,1,5,138
1614,1,1,1,4,2,5,50
1615,1,1,1,4,5,6,50
1621,2,1,2,3,2,5,96
1622,1,4,4,1,2,6,12
1623,2,2,3,5,3,5,59
1624,4,5,3,2,2,6,97
1625,2,1,5,4,4,6,71
1626,2,4,2,1,1,5,84
1627,5,2,2,2,1,5,146
1628,4,2,1,3,3,6,10
1629,3,1,3,2,2,5,81
1630,4,4,4,4,2,6,77
1631,3,5,3,5,1,6,137
1632,3,4,2,5,5,5,137
1633,4,2,3,2,2,6,107
1634,1,4,4,1,1,5,107
1635,1,2,1,1,1,6,144
1636,2,3,2,3,4,5,13
1637,5,1,1,1,1,6,13
1638,1,3,1,1,2,6,102
1639,2,3,1,3,3,5,102
1640,2,1,2,1,1,6,99
1641,4,4,3,3,5,5,99
1642,5,3,3,3,1,6,122
1643,2,2,2,1,2,6,24
1644,3,5,5,3,3,5,135
1645,3,2,2,1,5,6,135
1648,1,3,5,2,1,5,103
1649,1,2,4,3,1,6,103
1652,1,3,1,2,4,5,29
1653,2,2,1,1,4,5,9
1654,1,4,4,2,2,6,132
1655,5,5,2,2,1,5,83
1656,1,4,5,3,5,5,22
1657,1,2,3,4,4,5,42
1658,5,1,3,5,3,6,42
1659,5,5,1,2,3,5,58
1660,1,2,2,2,5,6,55
1661,1,5,3,4,1,5,55
1662,1,3,1,1,3,6,44
1665,3,2,5,4,3,6,56
1666,2,2,4,2,5,5,56
1667,5,2,3,2,1,5,118
1668,4,3,1,2,4,6,118
1670,1,3,1,1,5,6,67
1671,4,3,4,3,4,5,67
1672,4,3,4,2,2,6,134
1673,4,2,4,2,4,5,51
1675,1,2,5,2,3,6,116
1676,2,2,4,4,1,6,131
1677,2,5,2,3,2,6,39
1678,2,5,5,1,4,5,39
1679,5,2,3,5,5,6,115
1680,1,1,5,4,2,6,48
1681,3,2,1,1,3,5,48
1682,2,3,3,5,5,6,104
1683,5,4,5,4,3,6,82
1684,3,4,1,3,4,5,82
1685,1,5,3,3,2,6,31
1686,5,5,5,3,1,5,31
1687,2,5,4,2,2,5,119
1688,3,1,2,3,2,6,119
1689,2,2,1,5,4,6,20
1690,2,3,1,1,5,5,20
1691,4,2,3,2,4,5,94
1692,5,5,5,2,5,6,94
1693,1,3,3,3,4,6,142
1694,2,4,5,1,4,6,53
1695,1,4,1,4,2,5,53
1696,2,4,5,2,5,5,26
1697,4,5,2,2,3,5,145
1698,2,3,2,2,4,6,145
1699,5,1,4,1,5,5,125
1700,2,3,4,4,4,6,125
1701,4,4,4,2,1,6,47
1702,5,1,3,4,4,5,47
1703,1,1,1,2,2,5,1
1704,4,2,3,4,1,6,85
1705,3,3,5,2,2,6,41
1706,1,1,2,3,4,5,18
1713,4,4,5,5,5,6,92
1714,3,5,5,2,1,6,147
1715,4,1,3,4,2,5,147
1716,3,2,1,1,2,5,114
1717,2,5,1,2,5,5,15
1718,2,5,3,5,4,6,15
1719,2,4,4,5,2,6,72
1722,3,3,2,1,1,5,62
1723,4,5,4,2,4,5,150
1727,2,1,3,3,5,6,91
1728,5,4,1,5,2,5,91
1730,3,3,1,3,5,5,141
1731,1,4,5,5,3,6,37
1732,3,5,2,5,5,6,64
1733,5,5,1,3,1,5,64
1734,3,2,5,3,1,5,54
1735,1,5,4,2,5,6,54
1737,1,1,5,4,5,6,65
1739,2,2,1,4,3,5,108
1740,2,5,4,2,4,6,108
1741,2,2,2,5,4,6,33
1742,3,4,1,5,3,5,33
1743,5,1,3,1,3,6,133
1744,4,5,4,5,4,5,133
1745,5,3,3,5,4,5,63
1746,5,3,4,1,3,5,129
1747,5,3,5,5,5,6,129
1748,1,4,4,3,1,6,49
1749,3,4,5,3,1,5,140
1750,2,3,4,4,1,6,140
1751,5,3,4,5,5,5,79
1753,4,1,2,5,4,6,43
1754,2,3,1,1,2,5,43
1758,4,3,4,5,2,6,143
1759,3,5,4,1,5,6,75
1760,1,5,5,5,1,5,75
1761,5,2,4,3,5,6,123
1762,2,3,2,5,5,6,68
1763,4,4,1,1,5,5,68
1764,4,4,4,1,1,5,5
1765,4,2,5,4,1,6,5
1766,3,1,2,1,3,5,45
1767,5,3,2,1,2,5,30
1768,1,1,1,4,1,6,93
1769,1,3,2,1,2,6,101
1770,3,4,2,3,1,6,40
1771,1,4,4,5,1,5,40
1772,4,4,4,2,4,5,100
1773,2,5,3,5,2,6,8
1774,4,4,1,2,2,5,148
1775,2,3,3,3,2,6,148
1776,1,1,5,5,5,5,105
1778,5,3,4,1,4,6,60
1779,3,1,1,4,4,5,60
1781,4,3,5,1,3,5,34
1782,2,4,4,5,1,6,34
1785,3,3,2,2,1,6,17
1786,3,1,1,3,4,6,89
1787,1,4,1,1,5,5,128
1788,2,5,2,2,3,6,128
1789,5,3,5,1,1,6,110
1790,5,3,4,2,5,5,110
1793,5,1,1,3,4,5,130
1794,5,1,5,4,1,6,109
1795,5,1,2,5,2,5,109
1796,2,3,2,1,5,5,95
1797,5,3,1,1,3,6,95
1798,3,2,1,3,1,5,98
1799,1,3,4,3,3,6,78
1800,5,5,1,5,4,6,4
1801,1,5,5,1,3,5,4
1802,2,4,1,2,3,6,27
1803,3,3,5,5,5,5,27
1804,2,5,2,4,5,6,57
1806,1,2,1,5,4,6,121
1808,4,5,3,2,4,6,139
1809,2,1,1,5,4,5,139
1811,5,5,4,4,3,5,11
1812,1,3,1,5,4,6,120
1813,5,3,1,4,4,5,112
1814,3,4,3,5,4,5,25
1815,2,5,5,5,1,6,25
1816,2,4,2,4,2,6,32
1817,1,3,2,2,3,5,32
1820,3,5,1,5,4,6,74
1821,3,2,1,2,1,5,74
1822,5,4,2,5,2,5,149
1823,5,2,2,2,4,6,149
1824,2,4,3,5,3,6,35
1825,3,3,5,5,2,5,35
1826,4,5,1,5,1,6,126
1827,3,2,5,3,2,5,86
1828,4,1,1,5,3,6,86
1829,2,3,3,1,5,6,3
1830,3,1,2,3,5,6,23
1831,5,5,3,3,4,5,23
1832,4,1,3,1,1,6,69
1833,1,2,1,2,1,6,52
1834,2,2,2,3,5,5,52
1835,4,5,3,4,1,6,6
1836,2,3,1,3,4,6,127
1839,4,1,5,3,3,6,106
1840,5,1,2,1,2,5,106
1841,1,1,3,5,2,5,38
1842,3,1,3,2,2,6,38
1843,5,3,1,3,4,6,46
1844,1,5,2,2,5,6,66
2622,4,1,4,3,2,9,120
2623,5,4,3,3,3,7,140
2624,5,5,3,2,2,10,79
2625,4,4,5,1,1,8,79
2626,4,3,1,3,5,9,79
2627,5,1,4,3,3,9,45
2628,2,1,5,1,2,10,50
2629,2,4,2,1,4,8,23
2630,5,3,1,2,1,10,23
2631,1,2,5,2,3,9,23
2632,5,2,1,5,2,9,114
2633,4,1,2,1,4,10,114
2634,5,3,3,3,3,7,114
2635,3,2,5,1,3,8,54
2636,4,1,1,5,5,7,110
2637,3,1,3,1,4,9,110
2638,2,1,2,4,3,9,73
2639,4,1,5,3,5,10,73
2640,5,1,4,4,3,7,73
2641,3,1,1,5,3,10,97
2642,4,4,4,3,2,9,85
2643,4,2,2,2,3,9,33
2644,1,1,4,5,5,8,126
2645,3,1,3,2,4,7,126
2649,5,2,4,1,5,8,131
2650,2,3,5,3,2,9,131
2651,3,2,4,2,3,7,131
2652,5,2,5,4,3,10,106
2653,3,3,3,4,5,7,106
2654,4,3,4,3,1,9,144
2655,4,4,4,4,1,8,144
2656,5,1,5,2,1,8,19
2657,2,4,3,5,5,9,8
2658,3,3,2,5,2,10,8
2659,1,3,5,4,5,8,8
2660,5,3,5,1,4,9,124
2661,3,2,3,4,2,7,124
2662,1,5,5,4,2,7,48
2663,1,2,4,2,5,10,16
2664,4,1,3,4,2,8,16
2668,4,4,5,3,3,7,83
2669,3,2,5,3,3,10,83
2670,2,4,3,4,1,10,148
2671,2,3,4,2,3,7,148
2672,2,3,5,2,1,10,108
2673,3,5,2,5,5,8,108
2679,1,2,4,1,3,9,146
2680,5,2,2,1,2,9,127
2681,2,3,4,2,4,9,18
2682,5,5,4,3,3,9,46
2683,2,5,5,5,2,7,46
2684,5,1,5,5,2,9,75
2688,3,3,2,3,4,8,91
2689,2,1,2,4,4,10,91
2690,1,4,5,2,5,10,7
2691,3,3,3,4,2,9,7
2692,2,3,4,5,3,7,60
2693,2,4,1,5,5,9,43
2694,4,4,1,2,3,7,43
2695,4,4,5,5,4,8,78
2696,3,3,3,5,5,8,66
2697,4,3,1,1,2,8,29
2698,4,5,4,3,4,9,29
2699,5,4,3,2,3,7,29
2700,4,3,2,2,2,9,68
2701,1,3,5,1,3,10,68
2702,5,3,5,5,3,8,99
2703,4,2,4,1,2,10,99
2704,4,3,4,5,5,8,59
2705,4,1,2,4,5,10,80
2706,5,5,5,4,5,8,80
2707,3,4,4,2,3,9,80
2708,1,2,2,4,1,7,71
2709,5,1,1,5,5,8,22
2710,3,2,2,2,3,9,22
2711,1,5,1,4,2,10,22
2712,2,5,5,3,3,10,88
2713,1,5,1,5,5,9,88
2714,3,4,5,2,4,8,88
2715,2,1,1,1,4,7,28
2716,4,3,4,2,5,7,38
2717,3,5,4,5,5,8,38
2718,2,4,5,1,5,7,32
2719,5,4,3,1,1,9,32
2720,2,4,1,3,1,7,96
2721,4,4,4,5,4,9,76
2722,1,1,1,2,4,7,76
2723,2,5,2,5,3,10,51
2724,1,1,5,2,2,8,51
2725,5,2,3,3,1,9,51
2728,5,5,3,1,1,10,98
2729,4,3,2,5,1,7,98
2730,5,1,1,1,3,10,56
2731,4,2,4,4,1,9,56
2732,2,2,1,4,2,10,100
2733,4,4,3,3,1,8,13
2735,3,2,1,4,2,7,149
2736,5,1,4,3,2,8,149
2737,5,2,1,5,5,9,149
2738,3,3,5,4,4,9,72
2739,4,2,4,1,4,10,72
2740,3,2,2,1,2,7,72
2741,2,1,5,2,4,7,25
2742,2,2,1,1,4,9,25
2743,2,1,5,2,3,8,57
2744,2,5,4,2,1,9,57
2745,3,2,4,3,5,10,57
2746,4,3,2,2,5,8,102
2747,4,5,4,4,5,10,102
2749,4,1,4,3,5,8,20
2758,1,4,3,4,3,10,81
2759,4,3,5,5,1,9,81
2760,4,4,3,5,4,7,81
2762,1,2,4,2,1,9,6
2763,5,1,1,1,3,9,27
2764,4,4,5,1,4,8,26
2765,1,2,1,3,4,10,26
2766,1,3,5,5,4,8,92
2768,5,5,5,1,3,7,86
2769,5,2,2,3,3,9,58
2775,3,3,2,1,1,9,52
2776,5,2,1,4,1,8,52
2777,5,4,3,3,4,10,82
2778,3,3,2,5,4,8,147
2779,5,4,5,1,1,9,147
2780,5,5,5,4,3,10,147
2781,2,2,2,4,5,8,9
2782,4,1,5,5,1,10,9
2783,3,3,1,5,1,7,9
2784,4,5,4,3,2,7,130
2785,2,1,4,4,4,10,130
2786,2,1,5,1,1,9,130
2788,4,3,1,3,1,8,53
2789,2,1,2,5,3,10,53
2790,3,3,5,2,4,7,53
2791,4,1,2,1,4,8,89
2792,5,3,1,4,4,7,34
2793,1,4,3,5,1,9,34
2794,3,4,1,4,2,8,34
2798,1,1,1,5,1,8,105
2799,3,4,1,5,4,10,105
2800,5,1,4,5,1,9,138
2801,2,3,3,3,1,9,122
2802,4,4,2,2,1,8,122
2803,4,4,2,3,1,7,122
2804,5,3,4,3,4,10,77
2805,2,5,1,3,2,9,77
2806,5,5,1,1,5,10,141
2807,2,2,2,5,3,9,141
2808,2,3,2,5,2,7,74
2809,5,4,2,2,2,10,145
2810,5,3,1,1,2,7,145
2811,4,4,4,4,1,7,113
2812,2,3,5,5,5,10,113
2813,2,2,4,5,4,9,113
2814,4,3,3,3,1,8,95
2815,4,5,5,3,1,7,95
2816,1,5,4,4,2,9,95
2823,3,3,5,2,4,9,121
2824,3,4,2,1,1,8,1
2825,5,3,3,4,4,9,1
2826,3,4,5,4,1,10,1
2827,4,2,3,2,2,7,44
2828,5,2,5,4,3,10,44
2829,2,2,5,4,3,8,44
2830,1,2,3,1,1,8,11
2831,3,1,3,1,2,7,11
2832,1,5,4,5,5,7,69
2836,1,4,1,2,2,7,116
2837,1,2,1,1,4,9,116
2838,5,4,3,3,2,8,116
2839,4,2,1,4,1,9,30
2840,5,2,4,4,1,10,30
2841,2,5,1,3,4,8,65
2842,2,1,5,5,4,9,55
2843,4,3,3,5,1,7,55
2844,4,1,2,5,4,8,55
2845,4,4,2,1,4,7,143
2846,5,4,3,3,3,10,143
2847,2,5,2,4,5,10,3
2848,4,3,2,4,1,9,3
2849,5,2,4,3,5,8,3
2850,5,3,3,1,2,9,94
2851,1,4,4,5,1,8,94
2852,1,1,2,3,1,7,94
2853,3,3,4,3,4,10,84
2854,3,2,2,1,1,9,84
2855,2,4,4,3,5,8,84
2856,3,1,5,4,4,8,37
2857,1,3,1,4,2,9,125
2858,1,4,3,4,3,7,125
2859,3,4,5,3,2,7,150
2860,2,2,3,4,1,9,150
2864,2,3,5,5,1,10,136
2865,4,2,3,4,1,9,136
2866,2,2,4,4,5,7,136
2867,5,2,2,1,4,10,62
2868,1,5,4,2,5,9,62
2869,3,3,2,2,4,8,112
2870,2,1,2,1,2,10,112
2871,2,5,5,2,1,9,21
2872,4,2,5,3,4,7,21
2873,5,2,2,1,2,8,21
2877,2,4,5,4,4,7,101
2878,3,2,2,5,1,9,24
2879,1,2,1,3,3,10,24
2880,3,2,2,3,5,9,63
2881,2,1,5,2,2,8,63
2885,3,4,4,3,5,7,64
2886,4,2,2,3,4,9,64
2887,2,1,2,4,1,10,70
2888,2,1,5,2,2,9,70
2889,3,3,2,2,3,7,70
2890,2,5,1,2,4,7,117
2891,3,1,1,5,4,8,117
2892,3,5,1,5,5,9,117
2893,3,2,4,2,3,8,5
2896,1,5,3,1,2,9,142
2897,1,2,3,1,2,9,133
2899,5,4,2,1,2,8,93
2900,1,3,3,4,5,9,93
2901,1,4,5,1,3,10,93
2902,1,5,3,4,2,7,135
2903,1,1,4,4,2,9,135
2904,1,3,5,5,4,10,135
2905,5,5,2,5,2,7,12
2908,5,2,4,5,2,10,104
2909,4,1,2,3,4,7,139
2910,1,2,1,4,4,9,139
2911,3,2,3,1,4,8,139
2912,5,2,2,2,4,8,115
2913,1,3,4,4,1,10,115
2914,5,3,3,4,3,8,129
2915,3,1,1,5,4,10,129
2919,5,5,1,2,1,10,111
2923,3,5,4,3,1,10,134
2924,5,1,5,3,1,8,132
2925,4,4,3,5,1,9,118
2926,2,4,1,5,3,7,41
2927,4,2,4,2,4,8,41
2928,1,2,3,5,1,10,119
2929,2,4,5,4,1,7,119
2930,5,5,5,5,1,9,119
2933,3,2,3,5,3,8,87
2934,3,1,5,3,2,10,87
2935,4,1,1,5,5,9,87
2936,5,3,3,1,2,7,67
2937,5,2,3,5,4,10,67
2938,5,4,3,1,2,9,67
2939,3,2,1,4,1,8,47
2940,5,5,2,3,2,9,47
2941,1,1,2,1,2,7,47
2942,1,3,4,2,1,9,4
2943,4,3,1,2,2,10,61
2944,2,1,1,5,4,9,61
2945,2,1,4,5,3,8,61
2948,3,1,2,4,2,7,35
2949,4,3,4,4,2,9,35
2950,2,1,5,4,5,10,2
2951,5,2,2,1,4,9,2
2952,3,4,2,4,5,9,109
2953,1,3,4,3,3,8,49
2954,3,5,4,3,5,10,49
2955,5,2,4,4,2,9,49
2956,3,2,2,5,5,8,14
2957,5,5,2,5,1,10,14
2958,1,5,3,2,4,8,137
2959,3,1,4,5,2,10,137
2960,3,2,3,4,1,7,137
2961,1,5,4,2,1,10,36
2962,5,4,3,1,4,7,36
2963,1,4,2,5,5,9,36
2964,2,2,4,5,4,10,15
2965,5,2,5,5,2,8,15
2966,4,4,1,3,1,7,15
2967,2,4,1,4,3,9,10
2968,3,5,4,3,5,9,31
2969,5,3,1,2,2,10,31
2970,5,3,2,1,5,7,31
2971,3,3,1,5,3,10,128
2972,1,1,5,5,2,9,128
2973,2,2,2,2,2,7,128
2976,4,3,1,4,3,10,90
2977,2,2,1,3,2,8,90
2978,5,1,5,5,2,7,90
2979,3,5,3,1,1,10,39
2980,2,2,3,3,3,8,107
2981,5,3,2,1,3,9,107
2982,3,4,4,2,2,10,107
2985,1,4,4,1,1,7,103
2986,3,2,4,4,4,10,103
2987,5,4,3,3,1,10,42
2988,4,4,4,1,4,8,42
2989,2,2,2,1,2,7,42
2993,4,3,2,1,1,8,40
2994,1,1,4,5,3,7,40
2995,5,1,3,4,1,8,123
2996,4,4,3,5,3,9,17
2997,1,5,3,5,5,10,17
6264,2,3,2,3,3,14,124
6265,3,3,2,3,4,13,124
6266,5,4,4,1,5,13,54
6269,5,3,5,3,5,14,3
6270,1,5,4,3,2,14,81
6271,5,3,2,5,2,14,149
6272,1,3,5,3,4,11,149
6273,5,3,4,3,3,12,25
