Rating_id,ArtistPerformanceINT,SoundAndLightingINT,StagePresenceINT,OrganizationINT,OverallImpressionINT,Performance_Performance_id,Visitor_Visitor_id,RatingDate
152,1,1,2,1,1,1,140,2017-08-27
153,3,2,4,3,3,4,140,2017-08-22
154,3,3,2,2,2,2,43,2017-08-23
155,2,3,3,2,2,4,43,2017-08-21
156,2,3,2,2,2,1,43,2017-08-20
157,1,1,1,2,1,4,111,2017-08-26
158,4,3,5,4,4,1,87,2017-08-21
159,4,3,4,4,3,2,87,2017-08-24
160,3,4,2,2,2,4,72,2017-08-25
161,5,5,5,4,4,4,145,2017-08-20
162,3,4,2,2,2,2,145,2017-08-23
163,1,1,1,1,1,2,67,2017-08-20
164,5,5,5,5,5,4,67,2017-08-21
165,2,2,1,1,1,2,135,2017-08-22
166,4,4,3,4,3,1,86,2017-08-22
167,2,2,1,3,2,3,86,2017-08-23
168,1,1,2,1,1,4,86,2017-08-27
169,5,5,5,5,5,2,80,2017-08-23
170,1,2,2,1,1,3,80,2017-08-24
171,4,3,4,3,3,1,80,2017-08-21
172,2,2,3,2,2,2,95,2017-08-21
173,1,1,1,2,1,1,95,2017-08-25
174,3,4,4,3,3,4,113,2017-08-23
175,4,5,5,3,4,2,113,2017-08-26
176,1,1,1,1,1,4,90,2017-08-21
177,2,2,2,2,2,2,90,2017-08-27
178,3,3,2,2,2,4,1,2017-08-24
179,2,1,1,2,1,4,19,2017-08-20
180,5,4,4,5,4,3,19,2017-08-24
181,4,4,4,5,4,2,19,2017-08-22
182,4,3,3,5,3,2,32,2017-08-23
183,4,5,5,3,4,4,32,2017-08-22
184,1,1,1,1,1,1,32,2017-08-25
185,2,3,2,3,2,4,16,2017-08-26
186,1,1,2,1,1,2,60,2017-08-21
187,1,1,1,2,1,1,60,2017-08-21
188,2,1,3,3,2,4,60,2017-08-22
189,3,3,2,2,2,2,8,2017-08-22
190,1,1,1,2,1,1,8,2017-08-27
191,1,1,2,2,1,1,102,2017-08-25
192,5,5,5,5,5,4,102,2017-08-27
193,1,1,2,2,1,1,132,2017-08-21
194,1,2,2,2,1,2,132,2017-08-22
195,2,2,1,2,1,2,109,2017-08-27
196,2,3,2,1,2,4,41,2017-08-22
197,4,4,3,3,3,1,41,2017-08-23
198,1,1,1,1,1,4,85,2017-08-25
199,4,5,5,3,4,1,85,2017-08-22
200,3,3,4,4,3,2,85,2017-08-25
201,3,3,2,2,2,3,110,2017-08-25
202,3,2,3,4,3,2,110,2017-08-27
203,2,2,3,1,2,1,110,2017-08-27
204,4,3,5,5,4,3,129,2017-08-24
205,3,4,4,3,3,4,129,2017-08-23
206,1,1,2,1,1,1,129,2017-08-23
207,4,5,4,5,4,3,70,2017-08-21
208,4,3,5,5,4,4,70,2017-08-20
209,1,1,2,1,1,2,30,2017-08-25
210,3,2,4,4,3,1,30,2017-08-25
211,2,3,1,1,1,3,30,2017-08-23
212,4,4,4,4,4,2,130,2017-08-26
213,3,3,2,3,2,3,130,2017-08-20
214,1,2,2,1,1,3,23,2017-08-20
215,2,3,3,3,2,4,23,2017-08-23
216,3,3,3,3,3,1,119,2017-08-27
217,2,1,3,3,2,3,119,2017-08-24
218,4,4,4,3,3,2,119,2017-08-26
219,4,4,5,5,4,4,138,2017-08-21
220,2,1,2,1,1,2,138,2017-08-22
221,5,4,5,5,4,4,51,2017-08-27
222,4,4,3,4,3,2,51,2017-08-26
223,1,1,1,1,1,1,97,2017-08-22
224,5,5,5,5,5,2,122,2017-08-21
225,3,4,4,2,3,1,122,2017-08-24
226,1,1,1,2,1,3,122,2017-08-21
227,3,3,4,4,3,3,46,2017-08-26
228,3,3,4,3,3,1,46,2017-08-27
229,4,4,4,3,3,2,46,2017-08-27
230,4,3,4,4,3,4,59,2017-08-22
231,3,2,3,2,2,1,59,2017-08-27
232,2,3,3,2,2,3,59,2017-08-22
233,4,4,4,5,4,4,79,2017-08-24
234,1,2,1,1,1,1,79,2017-08-23
235,2,1,2,3,2,3,79,2017-08-26
236,3,3,4,3,3,1,39,2017-08-21
237,5,4,5,4,4,2,39,2017-08-23
238,3,3,3,4,3,3,39,2017-08-25
239,1,2,1,2,1,4,3,2017-08-23
240,1,1,1,1,1,3,42,2017-08-26
241,4,4,5,5,4,1,42,2017-08-24
242,3,3,2,3,2,2,106,2017-08-24
243,2,3,1,1,1,3,106,2017-08-22
244,1,1,2,1,1,4,131,2017-08-25
245,1,2,1,1,1,3,146,2017-08-24
246,3,2,4,4,3,2,146,2017-08-22
247,3,4,2,3,3,1,146,2017-08-26
248,2,3,2,2,2,4,123,2017-08-23
249,3,3,2,4,3,2,123,2017-08-25
250,3,4,2,2,2,1,123,2017-08-26
251,4,5,4,3,4,2,61,2017-08-20
252,3,3,3,4,3,3,82,2017-08-21
253,5,5,5,5,5,2,82,2017-08-21
254,5,5,5,5,5,4,82,2017-08-27
255,5,5,4,5,4,1,28,2017-08-25
256,3,2,4,2,2,2,28,2017-08-21
257,2,2,2,1,1,4,9,2017-08-25
258,5,5,5,5,5,2,45,2017-08-20
259,3,4,2,4,3,4,45,2017-08-21
260,5,4,4,4,4,3,45,2017-08-23
261,3,2,4,4,3,4,63,2017-08-24
262,2,3,1,1,1,3,34,2017-08-27
263,3,2,4,4,3,1,34,2017-08-23
264,2,3,2,1,2,2,121,2017-08-25
265,4,5,3,3,3,1,76,2017-08-25
266,2,2,3,1,2,1,74,2017-08-26
267,3,3,4,2,3,4,74,2017-08-20
268,4,4,3,5,4,2,74,2017-08-23
269,2,3,2,2,2,2,101,2017-08-21
270,4,5,5,3,4,4,142,2017-08-22
271,5,5,5,5,5,3,147,2017-08-23
272,2,3,1,1,1,1,147,2017-08-20
273,1,1,1,2,1,1,73,2017-08-22
274,1,1,2,1,1,2,73,2017-08-20
275,4,3,4,4,3,3,134,2017-08-23
276,2,3,1,3,2,1,84,2017-08-20
277,1,1,2,2,1,2,84,2017-08-27
278,5,5,4,5,4,3,84,2017-08-24
279,1,2,1,1,1,3,54,2017-08-27
280,4,3,3,3,3,1,54,2017-08-20
281,1,2,2,2,1,3,5,2017-08-27
282,2,3,3,1,2,2,5,2017-08-24
283,4,5,5,5,4,2,56,2017-08-22
284,4,3,3,5,3,4,137,2017-08-22
285,4,4,3,3,3,4,77,2017-08-21
286,5,4,4,5,4,3,77,2017-08-24
287,4,3,3,3,3,2,17,2017-08-24
288,4,4,5,5,4,1,17,2017-08-22
289,4,3,5,5,4,3,49,2017-08-21
290,4,4,5,5,4,1,49,2017-08-20
291,1,1,1,1,1,4,49,2017-08-27
292,4,4,5,4,4,3,128,2017-08-26
293,2,1,3,1,1,1,128,2017-08-25
294,4,4,5,4,4,1,126,2017-08-25
295,1,2,2,1,1,3,126,2017-08-23
296,5,5,5,5,5,2,78,2017-08-21
297,1,2,1,1,1,1,78,2017-08-20
298,3,3,4,2,3,3,11,2017-08-20
299,2,3,3,3,2,2,11,2017-08-24
300,5,4,4,5,4,3,107,2017-08-27
301,2,3,3,1,2,4,107,2017-08-20
302,5,5,5,4,4,1,107,2017-08-20
303,5,5,5,5,5,2,55,2017-08-23
304,5,4,4,5,4,3,55,2017-08-27
305,2,2,2,2,2,1,55,2017-08-26
306,3,2,4,2,2,1,98,2017-08-23
307,3,2,4,3,3,3,93,2017-08-22
308,4,4,5,5,4,2,93,2017-08-20
309,1,1,1,1,1,4,62,2017-08-21
310,5,4,4,5,4,3,62,2017-08-22
1277,5,5,5,5,5,5,36,2017-08-28
1278,1,1,2,1,1,6,36,2017-08-25
1279,5,5,5,5,5,6,88,2017-08-21
1280,4,3,3,3,3,6,136,2017-08-27
1281,4,5,4,5,4,5,136,2017-08-23
1282,1,1,1,1,1,5,70,2017-08-22
1283,5,4,4,4,4,6,117,2017-08-26
1284,3,3,2,4,3,5,113,2017-08-26
1285,3,3,2,4,3,6,113,2017-08-28
1286,2,3,3,1,2,6,16,2017-08-26
1287,2,3,1,2,2,5,16,2017-08-28
1288,3,3,2,3,2,6,90,2017-08-27
1289,1,2,2,2,1,5,90,2017-08-24
1290,2,1,3,3,2,6,61,2017-08-22
1291,2,2,1,1,1,5,61,2017-08-21
1292,5,4,5,4,4,5,21,2017-08-26
1293,3,4,2,3,3,5,2,2017-08-22
1294,2,2,1,3,2,5,19,2017-08-21
1295,5,5,4,5,4,6,19,2017-08-28
1296,2,3,2,2,2,6,124,2017-08-22
1297,4,3,3,5,3,5,111,2017-08-24
1298,5,5,5,5,5,6,111,2017-08-23
1299,5,5,5,4,4,5,87,2017-08-26
1300,2,2,2,3,2,5,7,2017-08-26
1301,1,2,2,2,1,6,80,2017-08-21
1302,4,4,3,4,3,5,80,2017-08-26
1303,4,3,5,5,4,5,28,2017-08-26
1304,5,5,5,4,4,6,73,2017-08-23
1305,5,4,4,5,4,6,76,2017-08-24
1306,2,1,1,3,1,5,76,2017-08-21
1307,2,3,3,1,2,6,14,2017-08-26
1308,1,1,2,2,1,5,138,2017-08-26
1309,2,2,1,1,1,6,138,2017-08-28
1310,3,2,3,2,2,6,50,2017-08-23
1311,4,3,5,4,4,5,50,2017-08-22
1312,5,4,5,5,4,5,96,2017-08-24
1313,4,5,4,5,4,6,96,2017-08-21
1314,5,4,5,5,4,6,12,2017-08-28
1315,3,3,4,2,3,5,12,2017-08-27
1316,5,5,5,5,5,5,59,2017-08-27
1317,1,2,2,1,1,5,97,2017-08-21
1318,5,4,4,5,4,5,71,2017-08-22
1319,2,3,2,2,2,5,84,2017-08-22
1320,4,5,3,5,4,6,146,2017-08-26
1321,3,4,4,2,3,5,10,2017-08-23
1322,3,2,2,3,2,5,81,2017-08-22
1323,1,2,2,1,1,6,81,2017-08-24
1324,5,4,4,4,4,5,77,2017-08-28
1325,1,2,1,1,1,5,137,2017-08-22
1326,2,1,3,2,2,5,107,2017-08-23
1327,2,1,1,2,1,5,144,2017-08-21
1328,4,3,5,4,4,6,13,2017-08-27
1329,1,1,1,1,1,6,102,2017-08-24
1330,3,3,2,3,2,5,102,2017-08-24
1331,3,3,3,2,2,6,99,2017-08-28
1332,2,2,2,1,1,5,99,2017-08-27
1333,3,4,4,2,3,6,122,2017-08-26
1334,3,2,2,2,2,5,24,2017-08-27
1335,1,1,1,1,1,6,24,2017-08-24
1336,5,5,5,5,5,5,135,2017-08-23
1337,3,3,4,2,3,6,135,2017-08-25
1338,3,3,3,3,3,6,103,2017-08-21
1339,5,5,5,5,5,5,103,2017-08-24
1340,1,1,2,1,1,5,29,2017-08-21
1341,2,2,2,1,1,6,29,2017-08-22
1342,4,4,3,5,4,5,9,2017-08-24
1343,5,4,5,4,4,6,9,2017-08-25
1344,3,2,4,4,3,6,132,2017-08-21
1345,1,1,2,2,1,5,132,2017-08-21
1346,1,1,1,1,1,6,83,2017-08-22
1347,2,1,3,3,2,6,22,2017-08-28
1348,2,1,1,2,1,6,42,2017-08-27
1349,2,2,1,1,1,6,58,2017-08-24
1350,1,1,1,1,1,5,55,2017-08-28
1351,5,4,5,5,4,5,44,2017-08-21
1352,1,1,1,1,1,6,44,2017-08-27
1353,1,1,1,1,1,6,56,2017-08-25
1354,4,4,5,3,4,6,118,2017-08-24
1355,1,2,1,2,1,5,118,2017-08-27
1356,4,4,4,4,4,6,67,2017-08-22
1357,3,4,2,2,2,5,67,2017-08-26
1358,2,1,2,1,1,6,134,2017-08-26
1359,3,2,2,3,2,5,134,2017-08-26
1360,3,2,2,4,2,6,51,2017-08-23
1361,1,1,1,1,1,5,51,2017-08-26
1362,5,5,5,5,5,6,116,2017-08-26
1363,4,4,4,3,3,5,116,2017-08-28
1364,5,5,5,5,5,5,131,2017-08-26
1365,5,5,4,4,4,6,131,2017-08-26
1366,3,4,4,3,3,6,39,2017-08-25
1367,1,1,1,1,1,5,39,2017-08-25
1368,4,5,4,4,4,6,115,2017-08-28
1369,1,2,2,1,1,5,115,2017-08-24
1370,2,2,3,1,2,5,48,2017-08-23
1371,4,3,3,4,3,6,48,2017-08-25
1372,1,1,2,1,1,6,104,2017-08-28
1373,5,5,5,5,5,5,104,2017-08-27
1374,5,4,5,5,4,6,82,2017-08-21
1375,1,1,1,1,1,5,31,2017-08-23
1376,4,5,5,4,4,6,31,2017-08-27
1377,1,1,1,2,1,6,119,2017-08-27
1378,2,3,2,1,2,6,20,2017-08-28
1379,1,1,1,2,1,5,94,2017-08-21
1380,3,4,4,3,3,6,94,2017-08-23
1381,4,3,3,5,3,5,142,2017-08-26
1382,1,1,1,1,1,5,53,2017-08-23
1383,3,3,3,4,3,5,26,2017-08-27
1384,5,5,5,5,5,6,145,2017-08-24
1385,1,2,1,1,1,5,145,2017-08-25
1386,3,3,3,4,3,5,125,2017-08-27
1387,2,1,2,3,2,6,47,2017-08-25
1388,5,5,5,5,5,5,47,2017-08-22
1389,2,3,2,2,2,6,1,2017-08-26
1390,3,3,2,2,2,6,85,2017-08-27
1391,4,4,5,4,4,5,85,2017-08-24
1392,4,4,4,3,3,6,41,2017-08-24
1393,5,4,5,4,4,5,41,2017-08-21
1394,1,1,1,1,1,5,18,2017-08-21
1395,3,4,2,4,3,6,18,2017-08-27
1396,5,5,5,5,5,5,92,2017-08-25
1397,1,2,1,1,1,6,147,2017-08-21
1398,2,3,1,1,1,5,147,2017-08-25
1399,3,4,2,3,3,5,114,2017-08-25
1400,2,2,1,3,2,5,15,2017-08-22
1401,3,2,3,4,3,6,15,2017-08-25
1402,2,3,1,3,2,5,72,2017-08-21
1403,4,3,5,5,4,6,72,2017-08-27
1404,5,5,5,5,5,5,62,2017-08-28
1405,5,5,5,5,5,5,150,2017-08-28
1406,3,4,2,3,3,6,91,2017-08-24
1407,1,1,1,2,1,5,91,2017-08-22
1408,3,4,3,2,3,6,141,2017-08-21
1409,5,5,4,5,4,5,141,2017-08-22
1410,1,2,1,2,1,6,37,2017-08-21
1411,1,1,1,1,1,5,37,2017-08-25
1412,4,3,3,5,3,6,64,2017-08-26
1413,5,5,4,4,4,5,64,2017-08-22
1414,3,3,4,4,3,6,54,2017-08-21
1415,2,3,1,3,2,5,54,2017-08-24
1416,3,3,2,2,2,5,65,2017-08-24
1417,4,5,5,5,4,6,65,2017-08-22
1418,5,5,4,5,4,5,108,2017-08-28
1419,2,2,2,3,2,5,33,2017-08-23
1420,4,4,4,4,4,5,133,2017-08-21
1421,4,5,5,4,4,5,63,2017-08-25
1422,4,5,5,3,4,6,63,2017-08-24
1423,3,2,3,2,2,6,129,2017-08-23
1424,4,3,5,5,4,5,129,2017-08-27
1425,1,1,1,1,1,5,49,2017-08-23
1426,1,2,2,2,1,6,49,2017-08-28
1427,3,4,3,4,3,6,140,2017-08-25
1428,2,2,2,2,2,5,140,2017-08-28
1429,5,4,4,5,4,5,79,2017-08-22
1430,2,1,2,2,1,6,79,2017-08-28
1431,4,5,3,4,4,6,43,2017-08-23
1432,5,5,5,5,5,5,143,2017-08-24
1433,1,1,1,1,1,6,143,2017-08-21
1434,5,5,5,5,5,6,75,2017-08-27
1435,4,5,3,3,3,5,123,2017-08-21
1436,2,1,2,1,1,6,123,2017-08-26
1437,1,2,2,2,1,6,68,2017-08-28
1438,2,3,3,1,2,5,68,2017-08-23
1439,3,4,2,3,3,6,5,2017-08-28
1440,1,1,1,1,1,6,45,2017-08-26
1441,5,5,4,5,4,5,30,2017-08-25
1442,2,1,1,2,1,6,30,2017-08-25
1443,2,1,3,2,2,5,93,2017-08-21
1444,2,2,2,1,1,6,93,2017-08-28
1445,5,5,4,4,4,5,101,2017-08-26
1446,5,5,5,4,4,6,40,2017-08-21
1447,5,5,4,5,4,5,40,2017-08-25
1448,2,1,2,3,2,6,100,2017-08-24
1449,3,4,2,4,3,5,100,2017-08-26
1450,4,3,5,3,3,6,8,2017-08-26
1451,4,5,4,4,4,6,148,2017-08-27
1452,3,2,4,4,3,5,148,2017-08-21
1453,2,3,3,2,2,5,105,2017-08-23
1454,4,3,3,3,3,5,60,2017-08-28
1455,2,2,3,2,2,6,60,2017-08-24
1456,4,5,5,3,4,5,34,2017-08-28
1457,5,4,5,5,4,5,17,2017-08-22
1458,1,1,2,1,1,6,17,2017-08-22
1459,4,3,3,3,3,5,89,2017-08-24
1460,1,1,1,1,1,6,128,2017-08-27
1461,5,4,4,5,4,5,128,2017-08-25
1462,3,3,3,4,3,6,110,2017-08-28
1463,4,4,5,5,4,5,130,2017-08-21
1464,5,5,5,5,5,5,109,2017-08-25
1465,2,3,3,1,2,5,95,2017-08-23
1466,3,4,3,3,3,6,98,2017-08-22
1467,5,5,5,4,4,5,98,2017-08-26
1468,3,2,3,4,3,6,78,2017-08-25
1469,3,2,3,3,2,5,78,2017-08-23
1470,1,2,1,1,1,6,4,2017-08-21
1471,3,3,3,2,2,5,4,2017-08-23
1472,4,5,4,5,4,5,27,2017-08-26
1473,3,4,2,4,3,6,57,2017-08-27
1474,3,2,2,3,2,5,57,2017-08-22
1475,5,5,5,5,5,5,121,2017-08-26
1476,5,5,5,5,5,5,139,2017-08-24
1477,2,1,2,2,1,6,139,2017-08-26
1478,5,5,5,5,5,6,11,2017-08-28
1479,3,3,3,4,3,5,11,2017-08-23
1480,1,2,1,1,1,6,120,2017-08-28
1481,3,4,3,3,3,5,112,2017-08-27
1482,3,2,3,3,2,6,112,2017-08-28
1483,5,5,5,5,5,5,25,2017-08-22
1484,3,3,3,3,3,6,25,2017-08-27
1485,4,4,5,5,4,6,32,2017-08-21
1486,3,2,3,2,2,5,32,2017-08-28
1487,5,5,5,4,4,6,74,2017-08-22
1488,4,4,3,4,3,5,74,2017-08-27
1489,4,5,4,5,4,6,149,2017-08-23
1490,2,3,1,1,1,5,149,2017-08-22
1491,1,1,2,1,1,5,35,2017-08-22
1492,3,4,4,2,3,6,35,2017-08-22
1493,2,3,1,1,1,6,126,2017-08-24
1494,4,5,5,4,4,5,86,2017-08-28
1495,3,4,3,3,3,6,3,2017-08-22
1496,4,3,4,4,3,5,3,2017-08-25
1497,3,3,2,3,2,5,23,2017-08-26
1498,3,2,2,3,2,6,69,2017-08-26
1499,2,3,2,2,2,6,52,2017-08-22
1500,3,2,3,4,3,5,52,2017-08-22
1501,5,5,5,4,4,5,6,2017-08-27
1502,2,3,1,3,2,6,6,2017-08-27
1503,4,4,5,3,4,5,127,2017-08-28
1504,4,4,5,3,4,5,106,2017-08-22
1505,5,5,4,5,4,6,38,2017-08-27
1506,5,5,5,4,4,6,46,2017-08-28
1507,1,1,1,1,1,5,46,2017-08-27
1508,2,2,2,2,2,6,66,2017-08-22
1509,3,4,3,3,3,5,66,2017-08-28
2141,4,4,5,4,4,10,120,2017-08-29
2142,5,5,5,4,4,7,120,2017-08-23
2143,1,2,1,2,1,10,140,2017-08-24
2144,1,1,1,1,1,8,140,2017-08-26
2145,3,3,3,2,2,7,140,2017-08-28
2146,3,3,4,2,3,10,79,2017-08-25
2147,3,4,2,2,2,8,79,2017-08-25
2148,4,5,5,4,4,7,45,2017-08-25
2149,5,4,5,4,4,10,45,2017-08-27
2150,5,5,4,4,4,8,45,2017-08-27
2151,4,5,3,5,4,8,50,2017-08-25
2152,2,3,1,3,2,9,50,2017-08-29
2153,1,1,2,1,1,10,50,2017-08-29
2154,2,3,2,1,2,9,23,2017-08-27
2155,4,3,3,4,3,7,23,2017-08-24
2156,4,5,4,3,4,8,23,2017-08-22
2157,2,2,1,1,1,7,114,2017-08-29
2158,2,1,2,3,2,8,54,2017-08-23
2159,3,4,3,3,3,10,54,2017-08-23
2160,1,1,1,2,1,8,110,2017-08-23
2161,3,2,4,4,3,10,73,2017-08-23
2162,4,5,5,5,4,10,97,2017-08-24
2163,4,5,5,5,4,9,97,2017-08-22
2164,2,3,1,1,1,7,97,2017-08-29
2165,2,3,3,3,2,8,85,2017-08-27
2166,1,1,2,1,1,7,85,2017-08-29
2167,5,4,5,5,4,10,85,2017-08-24
2168,5,5,5,5,5,7,33,2017-08-28
2169,2,2,1,3,2,7,126,2017-08-28
2170,5,5,4,5,4,9,126,2017-08-26
2171,1,2,1,1,1,7,131,2017-08-29
2172,5,5,5,4,4,9,106,2017-08-25
2173,3,3,3,2,2,8,144,2017-08-29
2174,5,5,5,4,4,7,144,2017-08-28
2175,4,3,4,3,3,9,19,2017-08-28
2176,1,2,1,1,1,8,19,2017-08-22
2177,2,1,1,3,1,7,19,2017-08-22
2178,2,2,2,1,1,9,8,2017-08-25
2179,4,3,4,4,3,10,124,2017-08-29
2180,2,3,3,3,2,7,124,2017-08-27
2181,1,1,2,1,1,9,124,2017-08-25
2182,5,4,5,4,4,9,48,2017-08-25
2183,2,2,1,2,1,9,16,2017-08-24
2184,3,4,2,2,2,10,16,2017-08-27
2185,3,3,4,3,3,9,83,2017-08-26
2186,1,1,1,2,1,10,148,2017-08-29
